MPI_Collective Buffer_Size_KB Freqeuncy Time_Taken
MPI_Bcast 2048 1 0.000159025
MPI_Bcast 2048 2 0.000197172
MPI_Bcast 3072 1 0.000288963
MPI_Bcast 3072 2 0.000241995
MPI_Scatter 2048 1 9.48906e-05
MPI_Scatter 2048 2 8.29697e-05
MPI_Scatter 3072 1 9.10759e-05
MPI_Scatter 3072 2 9.48906e-05
MPI_Scather_Gather 2048 1 0.00108004
MPI_Scather_Gather 2048 2 0.000535965
MPI_Scather_Gather 3072 1 0.000283003
MPI_Scather_Gather 3072 2 0.000277996
MPI_Send_Recv 2048 1 0.00237513
MPI_Send_Recv 2048 2 0.000755072
MPI_Send_Recv 3072 1 0.000452042
MPI_Send_Recv 3072 2 0.000462055
MPI_Isend_Irecv 2048 1 7.79629e-05
MPI_Isend_Irecv 2048 2 7.60555e-05
MPI_Isend_Irecv 3072 1 0.000306129
MPI_Isend_Irecv 3072 2 0.000117064
MPI_Alltoall_Allreduce 2048 1 0.000222921
MPI_Alltoall_Allreduce 2048 2 0.000272036
MPI_Alltoall_Allreduce 3072 1 0.000236034
MPI_Alltoall_Allreduce 3072 2 0.00037694
